Name,County,Location,Dedicated Date,Lattitude,Longitude,Marker Type,Missing?,Categories,Marker Text,Text Len,Year,
Wood Street Riverbank Steps,Philadelphia,"323 N Front St., between Vine & Callowhill Sts., Philadelphia","Saturday, October 12, 2013",39.95624,-75.1401,City,No,"Business & Industry, Government & Politics 18th Century, Transportation, William Penn","The steps here are the only surviving example of ten passageways along the original Delaware River bank commissioned by William Penn in the early 1700s. Providing public access to the river wharves, the steps promoted transportation, commerce, and westward expansion in Pa.",273,2013,
Stephen Decatur,Philadelphia,"600 block of S Front St., Philadelphia","Friday, October 21, 1988",39.94061,-75.14409,City,No,"Military, War of 1812","Famed U.S. Navy officer. Born 1779 in Maryland, he grew up in a house on this site. Celebrated for his role in the Tripolitan War, 1804; capture of H.M.S. Macedonian, 1812; and the subduing of the Barbary powers, 1815. Killed in a duel in 1820. Buried, St. Peter's Church.",272,1988,
"Barrymores, The",Philadelphia,"NW corner, N 6th & Arch Sts., Philadelphia","Tuesday, October 1, 1996",39.95279,-75.15013,City,No,Performers,"Three famous actors, Philadelphia-born, were the third generation of this ""Royal Family of the American Stage."" Lionel (1878-1954), Ethel (1879-1959), and John (1882-1942) performed on stage, screen, radio. Their grandparents, the Drews, managed the Arch St. Theatre here.",272,1996,
McClellan House,Philadelphia,"912 Walnut St., Philadelphia","Tuesday, October 14, 1997",39.94817,-75.15652,City,No,Education,"Father and son lived at 912 Walnut Street after 1832. Home of George McClellan, M.D., founder, Jefferson Medical College, until he died in 1847. Home until 1842, future Gen. George B. McClellan, commander, Army of the Potomac, 1861-62; U.S. Presidential candidate in 1864.",272,1997,
ENIAC,Philadelphia,"200 S 33rd St., S of Walnut St., Philadelphia","Thursday, June 15, 2000",39.95235,-75.19003,City,No,"Business & Industry, Invention","ENIAC, the Electronic Numerical Integrator and Computer, was invented by J. Presper Eckert and John W. Mauchly. It was built here at the University of Pennsylvania in 1946. The invention of this first all-purpose digital computer signaled the birth of the Information Age.",272,2000,
Medical Library Association,Philadelphia,"1420-22 Chestnut St., Philadelphia","Wednesday, November 4, 2015",39.95065,-75.16508,City,No,"Education, Science & Medicine, Women","World’s oldest medical library association founded here in 1898 to facilitate access to reliable medical literature for the improvement of health care. Among the US and Canadian founders were George M. Gould, MD; Sir William Osler, MD; and Margaret R. Charlton, librarian.",272,2015,
Bethel Burying Ground,Philadelphia,"Weccacoe Playground, 426 Queen St., at S Lawrence St., Philadelphia","Tuesday, October 1, 2019",39.93778,-75.15105,City,No,"African American, Religion","Purchased in 1810 by Mother Bethel A.M.E. Church trustees, it was among the first independent cemeteries for the free black community. Burials ceased in 1864. The land was sold to the city in 1889. Weccacoe Park was built over the graves of thousands of African Americans.",272,2019,
NFL Films,Philadelphia,230 N 13th St.,"Thursday, July 23, 2009",39.95678,-75.16031,City,No,,"Founded here in 1965, the filmmaking arm of the National Football League helped propel the NFL to popularity in the US. The company's creative innovations won it numerous Emmys, gave fans a new perspective on the game, and revolutionized the presentation of sports on TV.",271,2009,
William Penn - Slate Roof House - PLAQUE,Philadelphia,"135 S. 2nd St.(SE corner 2nd & Sansom), Philadelphia",Nov-24,39.947155,-75.144338,Plaque,Yes,"Buildings & Architecture, Government & Politics 17th Century, Houses & Homesteads, William Penn","William Penn with his family lived on this site in the slate roof house on his second visit to Pennsylvania 1699-1701 as tenant of Samuel Carpenter. Here in 1699 was born John Penn, called ""The American"" because he was the only child born to the Founder in the New World.",271,9072,
"Salvation Army, The",Philadelphia,"N 4th & Oxford Sts., Philadelphia","Friday, June 19, 1998",39.97519,-75.14194,City,No,"Religion, Women","The first U.S. corps was opened here on Oxford St. by 17-year-old Eliza Shirley in 1879. She came from England, assigned by the founder, William Booth. This organization would become the largest private charity in the U.S., giving spiritual and social help to the needy.",270,1998,
Wyoming Branch of the Free Library,Philadelphia,"231 E Wyoming Ave., at ""B"" St., Philadelphia","Saturday, October 29, 2005",40.02116,-75.12067,City,No,"Buildings & Architecture, Business & Industry, Education","The last library funded by noted philanthropist Andrew Carnegie opened here October 30, 1930, as the Wyoming Avenue Branch of the Free Library of Philadelphia. Pittsburgh industrialist Carnegie endowed more than 2,500 libraries worldwide, including many in Philadelphia.",270,2005,
Joseph Huston (1866-1940),Philadelphia,"5829 Wissahickon Ave., Germantown, Philadelphia","Thursday, October 20, 2005",40.02888,-75.18546,City,No,"Buildings & Architecture, Houses & Homesteads, Professions & Vocations","Oaks Cloister, built in 1900, was the home and studio of Philadelphia born Huston, architect of the PA Capitol. His Tudor home incorporates architectural elements and artwork by many capitol artists. He began his career with Furness and Evans, starting his firm in 1895.",270,2005,
"Wistar Institute of Anatomy and Biology, The",Philadelphia,3601 Spruce St.,"Wednesday, November 14, 2007",39.950934,-75.195485,City,No,"Education, Invention, Science & Medicine",The nation's first independent biomedical research institution was founded in 1892 by Isaac Jones Wistar. It houses the anatomical collection of the Wistar and Horner Museum. Many critical vaccines and the albino Wistar rats used in medical research were developed here.,270,2007,
Dr. A. S. W. Rosenbach (1876-1952),Philadelphia,2010 Delancey Place,"Wednesday, April 2, 2008",39.94746,-75.17512,City,No,"Education, Professions & Vocations","Among America’s most influential rare book dealers, he helped build many of the nation's great libraries. He and his brother Philip established the Rosenbach Museum & Library to share their personal collection with the public. They lived on this block from 1926 to 1952.",270,2008,
Betsy Ross (1752-1836),Philadelphia,"239 Arch St., Philadelphia","Monday, April 27, 2009",39.95226,-75.14473,City,No,"American Revolution, Professions & Vocations, Women","Credited with making the first stars and stripes flag, Ross was a successful upholsterer. She produced flags for the government for over 50 years. As a skilled artisan, Ross represents the many women who supported their families during the Revolution and early Republic.",270,2009,
Father Divine,Philadelphia,"NE corner, N Broad St. & Ridge Ave., Philadelphia","Sunday, September 11, 1994",39.96675,-75.16029,City,No,"African American, Civil Rights, Religion, Inns & Taverns","Rev. Major J. Divine, civil rights leader of the 1930s, established Cooperative Economic Plan, providing life's necessities at nominal prices. Divine Lorraine Hotel here, built 1894 and acquired in 1948, was one of the first integrated hotels of its caliber in the U.S.",269,1994,
Sister Rosetta Tharpe (1915-1973),Philadelphia,"1102 Master St., Philadelphia","Monday, October 24, 2011",39.97377,-75.15377,City,No,"African American, Music & Theater, Performers, Religion, Women","One of gospel music’s first crossover super-stars, she popularized the genre by including secular music elements. A guitar virtuoso and charismatic performer throughout America and Europe, she toured with Count Basie, Cab Calloway, and Benny Goodman. Her home was here.",269,2011,
Muhammad's Temple of Islam #12,Philadelphia,"4218 Lancaster Ave., Philadelphia","Saturday, August 20, 2016",39.96687,-75.20848,City,No,"African American, Religion",Pennsylvania’s first Nation of Islam place of worship. Former home of the African American Muslim community of Philadelphia during the 1950s and 1960s under the leadership of Elijah Muhammad. Malcolm X and Imam Wallace D. Muhammad were administrators and teachers here.,269,2016,
Schuylkill Arsenal,Philadelphia,"E Greys Ferry Rd. at Washington Ave., Philadelphia","Thursday, June 10, 2004",39.94042,-75.18767,City,Yes,"Civil War, Exploration, Military, Military Post-Civil War","Supplies for the Lewis & Clark Expedition (1803-1806), bought in Philadelphia by Meriwether Lewis, were stored and shipped to Pittsburgh from here in preparation for the journey’s start. Supplied military goods for Civil War, WWI and WWII. Built 1802-1806. Razed 1963.",268,2004,
Philadelphia Chinatown,Philadelphia,913 Race St.,"Friday, October 8, 2010",39.95515,-75.15501,City,No,Ethnic & Immigration,"Founded in the 1870s by Chinese immigrants, it is the only “Chinatown” in Pennsylvania. This unique neighborhood includes businesses and residences owned by, and serving, Chinese Americans. Here, Asian cultural traditions are preserved and ethnic identity perpetuated.",268,2010,
Elizabeth Drinker (1735-1807),Philadelphia,"147 N 2nd St., Philadelphia","Saturday, November 16, 2019",39.95334,-75.14295,City,No,"American Revolution, Government & Politics 18th Century, Women, Writers","A prominent Philadelphia Quaker whose diaries (1758-1807) offer a substantial historical account of events and everyday life of the era. In her home, east of here, she chronicled the 1777 British invasion of Philadelphia and other events related to America’s founding.",268,2019,
Robert Cornelius,Philadelphia,"S 8th & Ranstead Sts. (next to Siegmund Lubin marker), Philadelphia","Friday, December 9, 1994",39.95047,-75.15368,City,No,"Business & Industry, Invention, Science & Medicine, Professions & Vocations",This metallurgist and brass founder opened one of the world's first photographic studios here in the spring of 1840. His collaboration with chemist Paul Beck Goddard in successful experiments to reduce exposure times made it possible to use the camera in portraiture.,267,1994,
Charles Willson Peale,Philadelphia,"SW corner of 3rd & Lombard Sts., Philadelphia",1999,39.94237,-75.1474,City,Yes,"Artists, George Washington","American painter, noted for his portraits of George Washington. Here, Peale opened in 1786 his museum of art & natural science. This he moved to Philosophical Hall, 1794; to Independence Hall, 1802. Founder, Pennsylvania Academy of the Fine Arts. Burial a block away.",267,1999,
Lombard Street Riot,Philadelphia,"SE corner of S 6th & Lombard Sts., Philadelphia","Wednesday, November 23, 2005",39.94299,-75.15205,City,No,African American,"Here on August 1, 1842 an angry mob of whites attacked a parade celebrating Jamaican Emancipation Day. A riot ensued. African Americans were beaten and their homes looted. The rioting lasted for 3 days. A local church & abolition meeting place were destroyed by fire.",267,2005,
Eddie Lang,Philadelphia,"S 7th St., just N of Clymer St., Philadelphia","Sunday, October 15, 1995",39.93999,-75.15452,City,No,Performers,"""Father of Jazz Guitar."" He was born Salvatore Massaro in 1902 and lived in this area as a boy. An accomplished soloist, Lang worked with Joe Venuti, Paul Whiteman, the Dorseys, and others. He was Bing Crosby's accompanist when death cut short Lang's career in 1933.",266,1995,
Shot Tower,Philadelphia,"Carpenter & Front Sts., Philadelphia","Saturday, April 19, 1997",39.94066,-75.18694,City,No,"Buildings & Architecture, Business & Industry, Military, Religion, War of 1812","First in the nation. Built 1808 by Thomas Sparks & John Bishop to make hunting shot, it symbolized a new U.S. industrial independence. Bishop, a Quaker, sold his share when ammunition was made here for the War of 1812. The Sparks family stayed in control until 1903.",266,1997,
Mother's Day,Philadelphia,"Traffic island, Market & Juniper Sts. (E side of City Hall), Philadelphia","Monday, June 1, 1998",39.95215,-75.16254,City,No,Women,"Founded by Anna Jarvis of Philadelphia. First officially observed in 1908, it honored motherhood & family life at a time of rising feminist activism. An early supporter was John Wanamaker, whose store stood opposite. Mother's Day was given federal recognition, 1914.",266,1998,
Baruch S. Blumberg (1925-2001),Philadelphia,"323 S Lawrence Ct., Philadelphia","Saturday, September 24, 2016",39.94447,-75.14932,City,No,"Science & Medicine, Professions & Vocations","Nobel laureate who identified the hepatitis B virus and developed its diagnostic test and vaccine, which he shared to promote its use. Affiliated with Fox Chase Cancer Center, NASA Astrobiology Inst., and pres. of American Philosophical Society. Blumberg lived here.",266,2016,
Fort Mifflin,Philadelphia,"At site, Fort Mifflin Rd., Philadelphia","Thursday, May 10, 1990",39.87649,-75.21211,City,No,"American Revolution, Forts, Military","Laid out in 1771 by the engineer John Montresor. Heroically held by the Americans under British siege until they were forced out, Nov. 15, 1777. Rebuilt 1798-1800 according to L'Enfant's design and enlarged in the 19th century. A U.S. military post until the 1950s.",265,1990,
First Republican National Convention,Philadelphia,"808 Locust Street, Philadelphia","Saturday, June 17, 2000",39.94736,-75.15515,City,No,"Abraham Lincoln, Government & Politics, Government & Politics 19th Century","In the Musical Fund Hall here in June 1856, John C. Fremont was nominated for President of the U.S. He lost the election to James Buchanan. Formed in 1854 the Republican Party opposed the extension of slavery; Lincoln was its first nominee elected President (1860).",265,2000,
Siegmund Lubin (1851-1923),Philadelphia,"1608 N 15th St., Philadelphia","Wednesday, April 11, 2007",39.97796,-75.16003,City,No,"Invention, Motion Pictures & Television, Professions & Vocations","Some of the nation's earliest motion pictures were made here between 1897 and 1899 in the backyard of film pioneer Lubin's home. Vaudeville and burlesque routines, boxing matches, circus performers, animal acts, and a Passion Play were among the subjects he filmed.",265,2007,
Historical Society of Pennsylvania,Philadelphia,1300 Locust St.,"Monday, October 25, 2010",39.94806,-75.16261,City,No,Education,"Among the oldest of its kind in the nation, the special collections library holds many of the nation’s important founding documents. Founded by prominent citizens in 1824 and located here since 1884, it traces America’s history from the 17th century to the present.",265,2010,
Baker Bowl National League Park,Philadelphia,"N Broad Street (between Lehigh & Huntingdon), Philadelphia","Wednesday, August 16, 2000",39.99245,-75.15488,City,No,"African American, Baseball, Sports & Recreation","The Phillies' baseball park from its opening in 1887 until 1938. Rebuilt 1895; hailed as nation's finest stadium. Site of first World Series attended by U.S. President, 1915; Negro League World Series, 1924-26; Babe Ruth's last major league game, 1935. Razed 1950.",264,2000,
Germantown Meetinghouse,Philadelphia,"6611 Germantown Ave., Philadelphia","Wednesday, September 10, 2008",40.05004,-75.1842,City,No,"Buildings & Architecture, Religion","Built here in 1770 - the first meetinghouse of the Church of the Brethren in the nation. Founded in Germany in 1708, the denomination was entirely transplanted to America by 1750 due to religious persecution. Many early Brethren leaders are buried in the cemetery.",264,2008,
Barbara Gittings (1932-2007),Philadelphia,"21st & Locust Sts., Philadelphia","Tuesday, July 26, 2016",39.94956,-75.17609,City,No,"Civil Rights, Education, Science & Medicine, Publishing & Journalism","Known as the mother of the LGBT civil rights movement, Gittings, who lived here, edited The Ladder, the first wide-spread lesbian journal. She led initiatives to promote LGBT literature in libraries and to remove homosexuality’s classification as a mental illness.",264,2016,
"""Common Sense""",Philadelphia,"SE corner of S 3rd St. & Thomas Paine Place (Chancellor St), Philadelphia",1993,39.94041,-75.14645,City,No,"American Revolution, Government & Politics, Government & Politics 18th Century, Military, Professions & Vocations, Publishing & Journalism","At his print shop here, Robert Bell published the first edition of Thomas Paine's revolutionary pamphlet in January 1776. Arguing for a republican form of government under a written constitution, it played a key role in rallying American support for independence.",263,1993,
Louisa May Alcott,Philadelphia,"5427 Germantown Ave., Philadelphia","Thursday, November 7, 1996",40.03372,-75.17139,City,No,"Women, Writers","The author of ""Little Women"" was born here at ""Pine Place,"" Nov. 29, 1832, to educator Bronson Alcott & his wife Abigail. An abolitionist, Civil War nurse, and suffragist, she wrote children's books and gothic thrillers. The Alcotts lived in this county, 1830-34.",263,1996,
Broad Street Station,Philadelphia,"NW corner, N 15th & Market Sts.","Tuesday, May 18, 1999",39.95295,-75.16521,City,No,"Buildings & Architecture, Railroads, Transportation","Opened here, 1881, by the Pennsylvania Railroad; enlarged 1893. This was once the world's largest railroad passenger terminal. Its great arched train shed burned, 1923. The station and its long elevated stone track bed (the ""Chinese Wall"") remained until 1952-53.",263,1999,
Union League of Philadelphia,Philadelphia,"SW corner, 140 S Broad St., Philadelphia","Thursday, February 12, 2004",39.94975,-75.16406,City,No,"Abraham Lincoln, Civil War, Government & Politics, Military","Founded 1862 as a patriotic society supporting President Lincoln’s efforts to preserve the Union. Recruited and financed troops during the Civil War. Its membership of prominent citizens later pursued political reform and social, philanthropic, and civic causes.",262,2004,
PSFS Building,Philadelphia,"1200 Market St., Philadelphia","Friday, November 11, 2005",39.95194,-75.16016,City,No,Buildings & Architecture,"The Philadelphia Saving Fund Society Building is regarded as the first International Style skyscraper built in the U.S. Completed in 1932, it was a radical departure from traditional bank architecture, exploiting the latest technological and structural advances.",262,2005,
Ebenezer Maxwell Mansion,Philadelphia,"200 W Tulpehocken St. (Germantown), Philadelphia","Saturday, September 27, 2008",40.03851,-75.18367,City,No,"Buildings & Architecture, Cities & Towns, Mansions & Manors, Railroads","Community efforts in the 1950s and 60s preserved this Gothic and Second Empire style house, one of the earliest recognized for its Victorian period architecture. The surrounding Tulpehocken Station historic district was among the nation’s first railroad suburbs.",262,2008,
Arthur Lee Hall (1934-2000),Philadelphia,"2544 N Germantown Ave., Philadelphia","Saturday, June 11, 2011",39.9909,-75.14826,City,No,"African American, Music & Theater, Performers","Pioneering African American dancer and choreographer. Hall’s innovative infusion of African dance, drumming, and culture into his productions transformed American modern dance. The Ile Ife Black Humanitarian Center, which was here, served as his home and studio.",262,2011,
Anthony Benezet (1713-1784),Philadelphia,"325 Chestnut St., Philadelphia","Saturday, June 4, 2016",39.94904,-75.14721,City,No,"African American, Education, Religion, Women, Writers","Leading abolitionist in the 18th century, his writings influenced the antislavery movement worldwide and federal abolition legislation. A teacher and Quaker, he educated blacks in his home, 1750-70, and opened a secondary school for girls in 1754. He lived here.",262,2016,
Robert Smith,Philadelphia,"606 S 2nd St., Philadelphia","Friday, January 14, 1983",39.94088,-75.14561,City,No,"Buildings & Architecture, Ethnic & Immigration, Professions & Vocations","Here stood the home of colonial Philadelphia's leading architect and builder. Born Jan. 14, 1722 at Dalkeith, Scotland, he died Feb. 11, 1777. Among his buildings are the Christ Church steeple, St. Peter's Church, the Walnut Street Prison, and Carpenters' Hall.",261,1983,
Pennsylvania Station,Philadelphia,"N side of Market St. between 29th & 30th Sts., Philadelphia","Tuesday, December 17, 1996",39.956667,-75.181667,City,Yes,"Railroads, Transportation","Opened with this name by the Pennsylvania Railroad in 1933; later renamed 30th Street Station. One of the largest rail stations in the U.S., with 16 tracks. Its magnificent main concourse has a 95-foot high ceiling. Three earlier stations were in this vicinity.",261,1996,
Church of the Advocate,Philadelphia,"N 18th & Diamond Sts., Philadelphia","Thursday, July 29, 1999",39.98565,-75.16312,City,No,"African American, Buildings & Architecture, Government & Politics 20th Century, Religion, Women","Here in the 1974 the first eleven women Episcopal priests were ordained. This noted Gothic Revival church, built 1887-97, served a growing African American community after 1930. Host to major Black Power events of the 1960s and '70s. National Historic Landmark.",261,1999,
Albert M. Greenfield (1887-1967),Philadelphia,"1315 Walnut St., Philadelphia","Thursday, April 21, 2016",39.94931,-75.16294,City,No,"African American, Business & Industry, Government & Politics 20th Century, Religion","Greenfield created an East Coast business empire here in retail, real estate, hotels, and banks. He supported equality for African Americans and received a papal award for promoting Catholic/Jewish harmony. He championed political reform locally and nationally.",261,2016,
Terminal Commerce Building,Philadelphia,"401 N Broad St., Philadelphia","Thursday, September 14, 2017",39.95979,-75.16183,City,No,"Buildings & Architecture, Railroads","Completed in 1931, the Art Deco building by William Steele & Sons was the largest commercial building on the East Coast. It is an architectural and engineering landmark that combined a freight station with a storage and office building for the Reading Railroad.",261,2017,
John Penn - PLAQUE,Philadelphia,"242 S 3rd St., Philadelphia",Oct-32,39.94572,-75.14658,Plaque,No,"Government & Politics 18th Century, William Penn","On this site was the home 1766-1771 of John Penn 1729-1795, last Colonial Governor of Pennsylvania. Son of Richard Penn and grandson of William Penn, the Founder. Also the home 1771-1810 of Benjamin Chew, 1722-1810, last Colonial Chief Justice of Pennsylvania.",260,1963,
Samuel Hopkins (1743-1818),Philadelphia,"119 Arch St., Philadelphia","Saturday, July 29, 2000",39.95194,-75.14265,City,No,"Business & Industry, George Washington, Government & Politics, Invention, Science & Medicine","The holder of the first U.S. patent, signed by George Washington, lived here. On July 31, 1790, Hopkins received a patent for an improvement in making potash, a major industrial chemical. In succeeding centuries, the U.S. Government issued millions of patents.",260,2000,
Satterlee U.S.A. General Hospital,Philadelphia,"At Gettysburg Stone in Clark Park, between S 43rd & S 44th Sts. on Baltimore Ave., Philadelphia","Saturday, November 8, 2003",39.94901,-75.21018,City,No,"Civil War, Science & Medicine, Military","One of largest and most complete Union Army hospitals during the Civil War, from 1862 to 1865. With 4,500 beds in one-story buildings and hundreds of tents, it occupied over 16 acres north of here. Named for Gen. Richard Satterlee, Union Army Medical Purveyor.",260,2003,
Smith Memorial Playground & Playhouse,Philadelphia,"3500 Reservoir Dr., Philadelphia","Saturday, September 23, 2017",39.9828,-75.19456,City,No,"Buildings & Architecture, Sports & Recreation","Built with a gift from Richard and Sarah Smith “for the recreation of the young,” it opened in 1899 as a private park on public land, free and open to all. Created at the advent of the American Playground Movement, it is one of the first play spaces in the US.",260,2017,
Walnut Street Prison,Philadelphia,"SE corner, S 6th St. near Walnut St., Philadelphia",1964,39.94746,-75.1514,City,No,"Government & Politics, Government & Politics 18th Century","One of the nation's first urban penal institutions, it confined felons, prisoners of war, Tories, and debtors from 1775 to 1838. Extending from Walnut St. to Locust St., it was the site of numerous riots. The prison was replaced by Eastern State Penitentiary.",259,1964,
Thomas Eakins (1844-1916),Philadelphia,"1729 Mt. Vernon St., Philadelphia",1996,39.96531,-75.16692,City,No,"Artists, Science & Medicine, Sports & Recreation","One of the finest realist painters of his time. A master of the art of the human figure. His work included portraits and scenes of sporting and medical events such as The Gross Clinic. A lifelong Philadelphian, he had his home & studios here on Mt. Vernon St.",259,1996,
House of Industry,Philadelphia,"714 Catharine St., Philadelphia","Thursday, June 27, 1996",39.93904,-75.15509,City,No,"Education, Ethnic & Immigration, Labor","Founded 1846, this was Pennsylvania's first such institution. Irish Catholics, other immigrants, & native-born were its constituency. Services to the needy included training programs for persons seeking work, designed to encourage their ultimate independence.",259,1996,
Caspar Wistar (1761-1818),Philadelphia,"240 S 4th Street, Philadelphia","Tuesday, December 5, 2000",39.94586,-75.14802,City,No,"Education, Exploration, Science & Medicine, Professions & Vocations","Noted physician, lived here. Professor of anatomy at the University of Pennsylvania. President of the American Philosophical Society & Pa. Abolition Society. In 1803, tutored Meriwether Lewis in Medicine & paleontology, in preparation for the expedition west.",259,2000,
Hotel Brotherhood USA,Philadelphia,"1523-29 Bainbridge St., Philadelphia","Saturday, October 22, 2016",39.94317,-75.16839,City,No,"African American, Labor, Professions & Vocations","Founded in 1883, this benevolent society of colored hotel workers was one of the largest and most influential early trade organizations in the hotel industry. It promoted labor equality, worker respect, and economic empowerment. Headquartered here since 1906.",259,2016,
Joe Venuti (1903-1978),Philadelphia,"NE corner S 8th & Fitzwater Sts., Philadelphia","Friday, April 18, 1997",39.94068,-75.15573,City,No,"Music & Theater, Performers","""Father of Jazz Violin."" Classically trained as a child, Venuti went to grade school here. He introduced new string techniques; worked with his close friend, guitarist Eddie Lang, 1921-33. Led own band, 1935-43; was on screen & radio. Major comeback in 1968.",258,1997,
"Rev. Jehu Jones, Jr. (1786-1852)",Philadelphia,"310 S. Quince St., Philadelphia (at Mask & Wig Club)","Sunday, February 22, 1998",39.94591,-75.16041,City,No,"African American, Religion","First African American Lutheran pastor in the US. Founder of nation's first African American Lutheran congregation, St. Paul's Evangelical Lutheran Church. It built its brick edifice here in 1834 and worshiped at the site with Jones as its pastor until 1839.",258,1998,
Edward Drinker Cope,Philadelphia,"2100-02 Pine St., Philadelphia","Wednesday, November 6, 2002",39.94713,-75.17596,City,No,"Education, Science & Medicine, Professions & Vocations, Writers","Internationally renowned vertebrate paleontologist and zoologist, Cope lived and worked here in his later years. He wrote many scientific papers describing hundreds of fossils & living animals and is famous for his long-standing feud with O.C. Marsh of Yale.",258,2002,
Elfreth's Alley,Philadelphia,"2nd St. & Elfreth's Alley, Philadelphia","Friday, June 3, 2016",39.95279,-75.14292,City,No,"Buildings & Architecture, Business & Industry, Ethnic & Immigration, Labor","An exceptional collection of early American structures, built 1720s-1830s, the alley contained the homes and shops of diverse artisans. Later, working-class immigrants lived here and labored in nearby industries. Residents began preservation efforts in 1934.",258,2016,
Philadelphia,Philadelphia,"Traffic island at N. Broad St. (PA 611) & John F. Kennedy Blvd., just N of City Hall","Monday, December 6, 1982",39.95321,-75.1635,City,No,"Cities & Towns, William Penn","Founded by William Penn. Laid out in 1682. Chartered a city, 1701. Pennsylvania's capital until 1799; the nation's to 1800. County was one of Pennsylvania's original three, formed 1682 and consolidated with city in 1854. Name means ""City of Brotherly Love.""",257,1982,
Oldest Photograph,Philadelphia,"NW corner, Chestnut & Juniper Sts., Philadelphia","Monday, September 25, 1989",39.95068,-75.16297,City,No,"Artists, Business & Industry, Invention, Science & Medicine, Professions & Vocations","America's earliest surviving photograph was made here about Sept. 25, 1839. Using a cigar box and crude lens, Joseph Saxton of the U.S. Mint created an image of Central High School (now demolished) shortly after Daguerre had announced his process in France.",257,1989,
Tomas Garrigue Masaryk (1850-1937),Philadelphia,"Independence Mall West, S 6th St. between Chestnut and Samson, Philadelphia","Tuesday, July 23, 2002",39.94865,-75.15073,City,No,"Ethnic & Immigration, Government & Politics, Government & Politics 20th Century","1st President of Czechoslovakia (1918-1935). On October 26, 1918, he led a gathering of 25 delegates from 12 Central & East European nations at Independence Hall, and delivered the Declaration of Common Aims, a Declaration of Independence for these nations.",257,2002,
David Salisbury Franks (c.1740-1793),Philadelphia,"SE corner, 5th & Arch Sts., Philadelphia","Wednesday, October 13, 2004",39.95243,-75.14844,City,No,"American Revolution, Religion","Distinguished Jewish officer and aide-de-camp to Gen. Benedict Arnold during the Revolutionary War. Thought to be complicit in Arnold’s treason, Maj. Franks was later exonerated. A yellow fever victim, he was buried at Christ Church by a Christian neighbor.",257,2004,
American Friends Service Committee,Philadelphia,"1501 Cherry St., at Friends Ctr., Philadelphia","Saturday, November 6, 1999",39.95559,-75.16477,City,No,Religion,"Founded in Philadelphia in 1917, the AFSC has given practical expression to the faith of the Religious Society of Friends (Quakers). Its worldwide humanitarian work has reflected a commitment to nonviolence & justice. Co-recipient, Nobel Peace Prize, 1947.",256,1999,
American Pharmaceutical Association,Philadelphia,"NW corner, Market & N 7th Sts., Philadelphia","Monday, September 24, 2001",39.95115,-75.15162,City,No,"Science & Medicine, Professions & Vocations","Professional society created, Oct. 6-8, 1852, to assure quality & safe distribution of drugs. Pharmacists from eight states met in a building nearby for the founding meeting; among them was Philadelphian William Proctor, Jr., ""Father of American Pharmacy.""",256,2001,
Public Sector Collective Bargaining,Philadelphia,"City Hall, north side, N Broad & Market Sts., Philadelphia","Friday, September 26, 2008",39.95337,-75.16378,City,No,"Government & Politics, Labor","In 1938, 3,000 Philadelphia municipal workers launched a strike protesting wage cuts and layoffs, among the first in a major American city. After 8 days, a collective bargaining agreement was reached, leading to the formation of AFSCME District Council 33.",256,2008,
Tindley Temple,Philadelphia,"750-762 S Broad St. (PA 611), Philadelphia",1992,39.94155,-75.16621,City,No,"African American, Buildings & Architecture, Religion","Founded 1902 as East Calvary Methodist Church. Renamed for its founder, Rev. Charles A. Tindley. Born a slave in Maryland, he did much to assist later migrants from the South. After his death, Tindley Temple continued to sponsor needed community programs.",255,1992,
"Philip Syng, Jr. (1703-1789)",Philadelphia,"Corner of Chestnut St. & S Front St., Philadelphia","Sunday, September 28, 2003",39.94844,-75.14243,City,No,"Government & Politics, Government & Politics 18th Century, Professions & Vocations","Near here, silversmith Philip Syng, Jr. created the inkstand used to sign the Declaration and Constitution at Independence Hall. With Benjamin Franklin, took part in experiments in electricity; founded institutions like the American Philosophical Society.",255,2003,
Mechanics' Union of Trade Associations,Philadelphia,"Chestnut & Bank Sts., Philadelphia","Wednesday, June 30, 2004",39.94848,-75.14521,City,No,"Education, Government & Politics 19th Century, Labor","Formed nearby in 1827 as the first central labor council in the nation; recognized as the beginning of American labor movement. Represented workers as a class, not by craft. Advocated for ten-hour day; engaged in political activism and workers' education.",255,2004,
Lorenzo L. Langstroth (1810-1895),Philadelphia,"106 S Front St., Phila.","Friday, September 10, 2010",39.94802,-75.14248,City,No,"Business & Industry, Invention, Science & Medicine, Writers","Born here, Langstroth revolutionized the beekeeping industry with his 1852 patented moveable frame hive and his manual, The Hive and the Honey-Bee. Both remain in use today. His innovations advanced beekeeping, pollination, and honey production worldwide.",255,2010,
Sarah Josepha Hale (1788-1879),Philadelphia,"922 Spruce St., Philadelphia","Saturday, November 14, 2015",39.94583,-75.15742,City,No,"Abraham Lincoln, Civil Rights, Government & Politics 19th Century, Professions & Vocations, Publishing & Journalism, Women, Writers","One of America’s first woman editors, Hale greatly increased subscriptions to Godey’s Lady’s Book in her four decades as editor. She successfully promoted a national Thanksgiving Day to President Lincoln. The author and women’s rights advocate lived here.",255,2015,
Dr. Constantine Hering (1800-1880),Philadelphia,"NW corner of 12th & Arch Sts., Philadelphia","Sunday, November 8, 2015",39.95404,-75.15953,City,No,"Education, Science & Medicine, Professions & Vocations","Cofounder of the first medical society and first homeopathic medical school in the US, Hering discovered major medicines and authored definitive texts on homeopathy. He advanced the art of healing through research and education. His home office was here.",254,2015,
